ID	Condition	Trial	TrialPosition	LookingTime	SaccLatency	pred	notpred
8	Con	7	13	3408.333333	1283.333333	0	1
8	Con	8	16	3441.666667	1308.333333	0	1
8	Con	9	17	3500	1258.333333	0	1
8	Con	10	20	1733.333333	1183.333333	1	0
8	Con	11	21	983.3333333	1450	0	1
8	Con	12	23	8.333333333	NA	NA	NA
9	Soc	1	2	1433.333333	1983.333333	0	1
9	Soc	2	3	1983.333333	NA	NA	NA
9	Soc	3	6	875	1925	0	1
9	Soc	4	7	475	NA	NA	NA
9	Soc	5	10	966.6666667	NA	NA	NA
9	Soc	6	12	1291.666667	1866.666667	0	1
9	Soc	7	14	1608.333333	1483.333333	0	1
9	Soc	8	16	1058.333333	NA	NA	NA
9	Soc	9	17	2966.666667	1225	0	1
9	Soc	10	20	1683.333333	1450	0	1
9	Soc	11	21	1675	1616.666667	0	1
9	Soc	12	23	1775	1233.333333	0	1
9	Con	1	1	991.6666667	1858.333333	0	1
9	Con	2	4	1191.666667	1275	0	1
9	Con	3	5	1541.666667	1208.333333	0	1
9	Con	4	8	2075	1475	0	1
9	Con	5	9	2141.666667	500	1	0
9	Con	6	11	1433.333333	1841.666667	0	1
9	Con	7	13	2116.666667	50	1	0
9	Con	8	15	1616.666667	1308.333333	0	1
9	Con	9	18	2441.666667	1458.333333	0	1
9	Con	10	19	1683.333333	1266.666667	0	1
9	Con	11	22	2533.333333	1458.333333	0	1
9	Con	12	24	500	NA	NA	NA
11	Soc	1	1	3766.666667	950	1	0
11	Soc	2	3	3933.333333	766.6666667	1	0
11	Soc	3	5	3933.333333	716.6666667	1	0
11	Soc	4	8	3575	1225	0	1
11	Soc	5	9	3566.666667	1100	1	0
11	Soc	6	11	3475	1058.333333	1	0
11	Soc	7	13	3633.333333	1066.666667	1	0
11	Soc	8	16	3758.333333	966.6666667	1	0
11	Soc	9	18	4016.666667	766.6666667	1	0
11	Soc	10	20	2766.666667	800	1	0
11	Soc	11	22	2083.333333	1008.333333	1	0
11	Soc	12	23	1250	1158.333333	1	0
11	Con	1	2	3491.666667	1275	0	1
